feature,importance_mean
sin_hour,0.107458495
cos_hour,0.09410441
ALLSKY_SFC_SW_DWN_lag_22,0.038444266
ALLSKY_SFC_SW_DWN_lag_10,0.034684714
CLRSKY_SFC_SW_DWN_roll_std_6,0.034594685
ALLSKY_SFC_SW_DWN_lag_21,0.02892599
ALLSKY_SFC_SW_DWN_lag_11,0.028016603
ALLSKY_SFC_SW_DWN_lag_23,0.02710378
ALLSKY_SFC_SW_DWN_roll_min_6,0.026541209
CLRSKY_SFC_SW_DWN,0.026529426
ALLSKY_SFC_SW_DWN_lag_9,0.026421862
CLRSKY_SFC_SW_DWN_lag_2,0.026330648
CLRSKY_SFC_SW_DWN_lag_3,0.026028065
CLRSKY_SFC_SW_DWN_lag_12,0.02480475
ALLSKY_SFC_SW_DWN_lag_20,0.024468442
CLRSKY_SFC_SW_DWN_roll_min_6,0.02413123
ALLSKY_SFC_SW_DWN_lag_5,0.023569643
CLRSKY_SFC_SW_DWN_roll_std_3,0.02309355
ALLSKY_SFC_SW_DWN_lag_8,0.022126397
ALLSKY_SFC_SW_DWN_lag_17,0.020236028
CLRSKY_SFC_SW_DWN_lag_6,0.019044863
ALLSKY_SFC_SW_DWN_lag_15,0.018808588
ALLSKY_SFC_SW_DWN_lag_18,0.01862864
CLRSKY_SFC_SW_DWN_roll_mean_6,0.018562179
ALLSKY_SFC_SW_DWN_roll_mean_6,0.016873147
ALLSKY_SFC_SW_DWN_lag_6,0.01682339
CLRSKY_SFC_SW_DWN_roll_mean_3,0.015582225
CLRSKY_SFC_SW_DWN_roll_max_6,0.015243769
ALLSKY_SFC_SW_DWN_lag_19,0.014190904
ALLSKY_SFC_SW_DWN_lag_12,0.013605665
ALLSKY_SFC_SW_DWN_lag_14,0.013172991
ALLSKY_SFC_SW_DWN_lag_7,0.010930684
ALLSKY_SFC_SW_DWN_roll_mean_3,0.010877635
CLRSKY_SFC_SW_DWN_lag_24,0.010395279
ALLSKY_SFC_SW_DWN_roll_max_6,0.0089509105
ALLSKY_SFC_SW_DWN_lag_24,0.008501034
CLRSKY_SFC_SW_DWN_lag_1,0.007018509
ALLSKY_SFC_SW_DWN_lag_3,0.0068892776
ALLSKY_SFC_SW_DWN_roll_std_3,0.006287145
ALLSKY_SFC_SW_DWN_roll_std_6,0.0059650815
ALLSKY_SFC_SW_DWN_lag_4,0.0043387185
ALLSKY_SFC_SW_DWN_lag_13,0.0041721617
ALLSKY_SFC_SW_DWN_lag_16,0.0031425813
CLOUD_AMT,0.0030972029
ALLSKY_SFC_SW_DWN_lag_1,0.0028205756
ALLSKY_SFC_SW_DWN_lag_2,0.0025644065
CLOUD_AMT_lag_1,0.0017916127
CLOUD_AMT_roll_mean_3,0.0014278111
RH2M,0.0014110872
cos_month,0.0013944429
CLOUD_AMT_roll_mean_6,0.0011793118
sin_month,0.001152905
CLOUD_AMT_lag_2,0.0011488971
RH2M_lag_6,0.001148701
RH2M_lag_3,0.001143057
CLOUD_AMT_roll_min_6,0.0011130349
PS_lag_12,0.0010880771
PS_lag_6,0.0010872985
RH2M_lag_12,0.0010803576
CLOUD_AMT_roll_max_6,0.001070438
RH2M_lag_2,0.0010657734
RH2M_lag_1,0.0010328381
T2M_lag_1,0.0010191441
PS,0.0009989768
PS_lag_2,0.0009926549
PS_lag_1,0.0009767695
PS_lag_3,0.0009513677
CLOUD_AMT_lag_3,0.0009456429
T2M,0.00089637755
T2M_lag_2,0.00089392456
T2M_lag_3,0.0008842726
T2M_lag_6,0.0008643462
CLOUD_AMT_roll_std_3,0.0008476822
CLOUD_AMT_lag_24,0.0008458058
CLOUD_AMT_roll_std_6,0.00083119347
RH2M_lag_24,0.00081624027
PS_lag_24,0.00079181703
T2M_lag_12,0.0007791714
T2M_lag_24,0.0007767601
CLOUD_AMT_lag_6,0.0007297288
CLOUD_AMT_lag_12,0.00072071445
