feature,importance_mean
sin_hour,0.081366755
cos_hour,0.065024376
CLRSKY_SFC_SW_DWN_roll_std_6,0.052476484
CLRSKY_SFC_SW_DWN_roll_mean_6,0.05000712
ALLSKY_SFC_SW_DWN_lag_21,0.034780037
ALLSKY_SFC_SW_DWN_lag_8,0.033154078
ALLSKY_SFC_SW_DWN_lag_19,0.03020423
CLRSKY_SFC_SW_DWN,0.02991656
CLRSKY_SFC_SW_DWN_lag_12,0.029535862
ALLSKY_SFC_SW_DWN_lag_5,0.028541474
ALLSKY_SFC_SW_DWN_lag_9,0.026575567
CLRSKY_SFC_SW_DWN_roll_mean_3,0.026475152
ALLSKY_SFC_SW_DWN_lag_10,0.026361024
CLRSKY_SFC_SW_DWN_roll_max_6,0.026255088
ALLSKY_SFC_SW_DWN_lag_23,0.025295287
ALLSKY_SFC_SW_DWN_lag_20,0.024957716
ALLSKY_SFC_SW_DWN_lag_11,0.02451017
ALLSKY_SFC_SW_DWN_lag_17,0.02393914
ALLSKY_SFC_SW_DWN_lag_22,0.023831883
CLRSKY_SFC_SW_DWN_lag_1,0.022481775
CLRSKY_SFC_SW_DWN_lag_3,0.02237633
ALLSKY_SFC_SW_DWN_lag_7,0.022215664
CLRSKY_SFC_SW_DWN_lag_2,0.0213592
CLRSKY_SFC_SW_DWN_lag_24,0.01905145
CLRSKY_SFC_SW_DWN_roll_std_3,0.019025723
CLRSKY_SFC_SW_DWN_lag_6,0.018358078
ALLSKY_SFC_SW_DWN_lag_14,0.017660668
ALLSKY_SFC_SW_DWN_roll_mean_3,0.017541094
ALLSKY_SFC_SW_DWN_lag_13,0.017402677
ALLSKY_SFC_SW_DWN_lag_1,0.016540043
CLRSKY_SFC_SW_DWN_roll_min_6,0.015717505
ALLSKY_SFC_SW_DWN_roll_min_6,0.0100070005
ALLSKY_SFC_SW_DWN_lag_18,0.009787229
ALLSKY_SFC_SW_DWN_roll_std_3,0.007113366
ALLSKY_SFC_SW_DWN_lag_16,0.0069092787
ALLSKY_SFC_SW_DWN_roll_mean_6,0.0063524623
ALLSKY_SFC_SW_DWN_roll_std_6,0.0057394593
ALLSKY_SFC_SW_DWN_lag_6,0.0044589876
ALLSKY_SFC_SW_DWN_lag_4,0.0042845053
ALLSKY_SFC_SW_DWN_lag_24,0.0035444268
ALLSKY_SFC_SW_DWN_lag_15,0.0031276948
ALLSKY_SFC_SW_DWN_lag_12,0.002957749
ALLSKY_SFC_SW_DWN_roll_max_6,0.0027485031
CLOUD_AMT,0.0021872637
ALLSKY_SFC_SW_DWN_lag_3,0.0016129775
ALLSKY_SFC_SW_DWN_lag_2,0.0016037592
CLOUD_AMT_lag_1,0.0016008852
CLOUD_AMT_roll_mean_3,0.0012788728
T2M_lag_3,0.0012734907
sin_month,0.0012170818
T2M,0.0011887524
PS,0.0011880723
RH2M_lag_12,0.0011625546
T2M_lag_2,0.0011567037
CLOUD_AMT_lag_12,0.0011506911
PS_lag_6,0.0011186812
RH2M_lag_6,0.0011154161
PS_lag_12,0.0010733914
RH2M,0.0010689282
T2M_lag_1,0.0010293602
PS_lag_3,0.0010000885
CLOUD_AMT_roll_min_6,0.0009887618
cos_month,0.00098145
PS_lag_1,0.0009782283
RH2M_lag_3,0.0009686966
RH2M_lag_1,0.0009648953
CLOUD_AMT_roll_max_6,0.00093606394
RH2M_lag_2,0.0009356235
PS_lag_2,0.0009122195
PS_lag_24,0.0008818994
CLOUD_AMT_roll_mean_6,0.0008764553
CLOUD_AMT_lag_24,0.0008402146
T2M_lag_6,0.0008127881
CLOUD_AMT_roll_std_6,0.0008021081
T2M_lag_12,0.0007832064
CLOUD_AMT_roll_std_3,0.00074577285
T2M_lag_24,0.00073596556
CLOUD_AMT_lag_6,0.0007359381
CLOUD_AMT_lag_3,0.00073338806
CLOUD_AMT_lag_2,0.0007075195
RH2M_lag_24,0.0006829344
