feature,importance_mean
sin_hour,0.08775642
CLRSKY_SFC_SW_DWN_roll_std_6,0.047280807
cos_hour,0.04424871
ALLSKY_SFC_SW_DWN_lag_10,0.037816294
CLRSKY_SFC_SW_DWN_roll_mean_6,0.037275214
CLRSKY_SFC_SW_DWN_roll_mean_3,0.034263678
ALLSKY_SFC_SW_DWN_lag_22,0.03284898
ALLSKY_SFC_SW_DWN_lag_19,0.032115076
ALLSKY_SFC_SW_DWN_lag_8,0.030655129
ALLSKY_SFC_SW_DWN_lag_9,0.030338265
ALLSKY_SFC_SW_DWN_lag_21,0.029295502
CLRSKY_SFC_SW_DWN_lag_1,0.029126413
CLRSKY_SFC_SW_DWN_lag_12,0.02701054
ALLSKY_SFC_SW_DWN_lag_20,0.026831053
CLRSKY_SFC_SW_DWN_lag_3,0.026354954
ALLSKY_SFC_SW_DWN_lag_11,0.024334928
ALLSKY_SFC_SW_DWN_lag_13,0.024182215
CLRSKY_SFC_SW_DWN,0.023225054
ALLSKY_SFC_SW_DWN_lag_7,0.022920651
ALLSKY_SFC_SW_DWN_lag_17,0.021126328
ALLSKY_SFC_SW_DWN_roll_min_6,0.02097369
CLRSKY_SFC_SW_DWN_lag_2,0.02011335
ALLSKY_SFC_SW_DWN_lag_15,0.019498477
CLRSKY_SFC_SW_DWN_roll_min_6,0.019306691
ALLSKY_SFC_SW_DWN_lag_23,0.01895276
ALLSKY_SFC_SW_DWN_lag_5,0.018322827
CLRSKY_SFC_SW_DWN_lag_6,0.017799582
ALLSKY_SFC_SW_DWN_lag_14,0.016459329
CLRSKY_SFC_SW_DWN_roll_max_6,0.015771508
CLRSKY_SFC_SW_DWN_roll_std_3,0.0139829805
ALLSKY_SFC_SW_DWN_lag_1,0.011445495
ALLSKY_SFC_SW_DWN_lag_18,0.010074926
ALLSKY_SFC_SW_DWN_lag_3,0.008366367
ALLSKY_SFC_SW_DWN_roll_mean_6,0.0074201114
CLRSKY_SFC_SW_DWN_lag_24,0.00731802
ALLSKY_SFC_SW_DWN_lag_4,0.0068146917
ALLSKY_SFC_SW_DWN_lag_24,0.006496969
ALLSKY_SFC_SW_DWN_roll_mean_3,0.0062895245
ALLSKY_SFC_SW_DWN_roll_std_6,0.0058730147
ALLSKY_SFC_SW_DWN_lag_16,0.0052251224
ALLSKY_SFC_SW_DWN_roll_std_3,0.0051589217
ALLSKY_SFC_SW_DWN_lag_12,0.004396032
CLOUD_AMT,0.004291852
ALLSKY_SFC_SW_DWN_lag_6,0.0028706044
ALLSKY_SFC_SW_DWN_roll_max_6,0.0028602134
RH2M,0.0024807865
cos_month,0.002459876
RH2M_lag_6,0.0022199445
RH2M_lag_12,0.0020601756
CLOUD_AMT_lag_1,0.0020514242
sin_month,0.002029984
RH2M_lag_3,0.0019328754
ALLSKY_SFC_SW_DWN_lag_2,0.0018548714
CLOUD_AMT_roll_max_6,0.0018396033
RH2M_lag_1,0.0017810733
RH2M_lag_2,0.0017621606
T2M_lag_12,0.0017082783
CLOUD_AMT_roll_min_6,0.001612384
CLOUD_AMT_roll_mean_6,0.0015378776
CLOUD_AMT_roll_mean_3,0.0015075408
T2M_lag_6,0.0014058257
PS_lag_3,0.0013995998
PS_lag_12,0.0013480899
PS_lag_6,0.0013366478
CLOUD_AMT_lag_12,0.0013311213
PS_lag_2,0.001312648
T2M_lag_1,0.0012959782
T2M_lag_3,0.0012911732
CLOUD_AMT_lag_24,0.0012908258
T2M_lag_2,0.0012860224
CLOUD_AMT_lag_3,0.0012782676
PS_lag_1,0.0012599851
T2M_lag_24,0.0012476748
CLOUD_AMT_lag_2,0.0012464067
PS,0.0011853711
T2M,0.0011479631
PS_lag_24,0.0011377764
CLOUD_AMT_roll_std_6,0.0011048748
CLOUD_AMT_lag_6,0.0010780634
RH2M_lag_24,0.0010544747
CLOUD_AMT_roll_std_3,0.0010330656
