feature,importance_mean
sin_hour,0.11622659
cos_hour,0.085229784
CLRSKY_SFC_SW_DWN_roll_std_6,0.035011053
ALLSKY_SFC_SW_DWN_lag_21,0.033581086
CLRSKY_SFC_SW_DWN,0.032596838
ALLSKY_SFC_SW_DWN_lag_10,0.032387663
ALLSKY_SFC_SW_DWN_lag_9,0.031315368
ALLSKY_SFC_SW_DWN_roll_mean_3,0.031067448
ALLSKY_SFC_SW_DWN_lag_22,0.030417776
ALLSKY_SFC_SW_DWN_lag_5,0.028202059
ALLSKY_SFC_SW_DWN_lag_11,0.027984822
CLRSKY_SFC_SW_DWN_lag_12,0.027952148
CLRSKY_SFC_SW_DWN_lag_2,0.027762288
ALLSKY_SFC_SW_DWN_roll_mean_6,0.027128391
ALLSKY_SFC_SW_DWN_lag_8,0.026842058
CLRSKY_SFC_SW_DWN_roll_min_6,0.02651278
ALLSKY_SFC_SW_DWN_lag_20,0.026257271
CLRSKY_SFC_SW_DWN_roll_max_6,0.02479896
CLRSKY_SFC_SW_DWN_roll_mean_6,0.023732835
CLRSKY_SFC_SW_DWN_lag_3,0.022259789
ALLSKY_SFC_SW_DWN_lag_23,0.021947986
CLRSKY_SFC_SW_DWN_lag_6,0.021588223
ALLSKY_SFC_SW_DWN_lag_17,0.020823823
CLRSKY_SFC_SW_DWN_roll_mean_3,0.016978083
ALLSKY_SFC_SW_DWN_roll_min_6,0.015816517
CLRSKY_SFC_SW_DWN_roll_std_3,0.014782689
ALLSKY_SFC_SW_DWN_lag_18,0.014496058
CLRSKY_SFC_SW_DWN_lag_24,0.012806411
ALLSKY_SFC_SW_DWN_roll_max_6,0.011460238
ALLSKY_SFC_SW_DWN_lag_19,0.009152913
ALLSKY_SFC_SW_DWN_lag_12,0.008851652
ALLSKY_SFC_SW_DWN_lag_16,0.008748006
ALLSKY_SFC_SW_DWN_lag_14,0.0076957555
ALLSKY_SFC_SW_DWN_lag_7,0.0073826406
ALLSKY_SFC_SW_DWN_lag_15,0.007137401
CLRSKY_SFC_SW_DWN_lag_1,0.006920081
ALLSKY_SFC_SW_DWN_lag_3,0.0068028863
ALLSKY_SFC_SW_DWN_lag_6,0.0063219424
ALLSKY_SFC_SW_DWN_roll_std_3,0.0057169017
ALLSKY_SFC_SW_DWN_lag_13,0.0050679026
ALLSKY_SFC_SW_DWN_roll_std_6,0.0036106135
ALLSKY_SFC_SW_DWN_lag_4,0.0033293164
ALLSKY_SFC_SW_DWN_lag_24,0.0031751636
sin_month,0.0031145064
cos_month,0.0028787388
CLOUD_AMT,0.0020544655
ALLSKY_SFC_SW_DWN_lag_1,0.0018574508
CLOUD_AMT_lag_12,0.0017100024
CLOUD_AMT_lag_1,0.0013385968
RH2M,0.0013143742
CLOUD_AMT_lag_24,0.0011939964
CLOUD_AMT_roll_max_6,0.0010962653
CLOUD_AMT_lag_6,0.0010720451
CLOUD_AMT_roll_mean_6,0.0010213626
RH2M_lag_1,0.0010107305
ALLSKY_SFC_SW_DWN_lag_2,0.0009933931
CLOUD_AMT_roll_min_6,0.0009891638
CLOUD_AMT_roll_mean_3,0.0009717581
CLOUD_AMT_roll_std_3,0.00093299267
RH2M_lag_2,0.000929879
T2M_lag_12,0.00090658036
T2M,0.0008922271
PS,0.00089196395
RH2M_lag_12,0.0008919379
T2M_lag_1,0.0008892734
RH2M_lag_3,0.000878442
PS_lag_1,0.0008730429
T2M_lag_2,0.0008721626
CLOUD_AMT_roll_std_6,0.00085588376
RH2M_lag_6,0.0008503142
CLOUD_AMT_lag_3,0.00084707775
PS_lag_12,0.00084240903
PS_lag_24,0.00083985203
T2M_lag_3,0.00083530834
PS_lag_6,0.0008331101
T2M_lag_6,0.00079283
RH2M_lag_24,0.00078813004
PS_lag_2,0.00077900523
PS_lag_3,0.00077796937
T2M_lag_24,0.00076185353
CLOUD_AMT_lag_2,0.0007406748
