feature,importance_mean
sin_hour,0.100362875
cos_hour,0.07245167
CLRSKY_SFC_SW_DWN,0.03773259
CLRSKY_SFC_SW_DWN_roll_std_6,0.037256364
ALLSKY_SFC_SW_DWN_lag_22,0.036063638
ALLSKY_SFC_SW_DWN_lag_10,0.034702834
ALLSKY_SFC_SW_DWN_lag_21,0.032446787
ALLSKY_SFC_SW_DWN_lag_8,0.029088428
ALLSKY_SFC_SW_DWN_lag_9,0.028279237
CLRSKY_SFC_SW_DWN_lag_2,0.028166255
ALLSKY_SFC_SW_DWN_lag_20,0.026809188
CLRSKY_SFC_SW_DWN_lag_12,0.02678408
CLRSKY_SFC_SW_DWN_lag_3,0.025133
CLRSKY_SFC_SW_DWN_roll_mean_6,0.024869869
CLRSKY_SFC_SW_DWN_roll_mean_3,0.024576353
ALLSKY_SFC_SW_DWN_lag_17,0.023966668
ALLSKY_SFC_SW_DWN_lag_11,0.023222998
ALLSKY_SFC_SW_DWN_lag_5,0.021528766
ALLSKY_SFC_SW_DWN_lag_23,0.019966021
CLRSKY_SFC_SW_DWN_lag_1,0.019514682
ALLSKY_SFC_SW_DWN_lag_18,0.019286765
ALLSKY_SFC_SW_DWN_roll_mean_6,0.01825469
ALLSKY_SFC_SW_DWN_lag_19,0.017792938
ALLSKY_SFC_SW_DWN_lag_15,0.016511805
CLRSKY_SFC_SW_DWN_lag_6,0.015722673
CLRSKY_SFC_SW_DWN_roll_std_3,0.015518845
ALLSKY_SFC_SW_DWN_lag_7,0.015414078
ALLSKY_SFC_SW_DWN_roll_std_6,0.014532973
ALLSKY_SFC_SW_DWN_lag_14,0.014421805
ALLSKY_SFC_SW_DWN_lag_4,0.014414366
ALLSKY_SFC_SW_DWN_roll_min_6,0.014291369
ALLSKY_SFC_SW_DWN_lag_6,0.013261721
ALLSKY_SFC_SW_DWN_roll_mean_3,0.012579273
ALLSKY_SFC_SW_DWN_roll_max_6,0.011832881
CLRSKY_SFC_SW_DWN_roll_min_6,0.01173659
ALLSKY_SFC_SW_DWN_lag_16,0.010012115
ALLSKY_SFC_SW_DWN_lag_12,0.00913651
ALLSKY_SFC_SW_DWN_lag_24,0.008792725
ALLSKY_SFC_SW_DWN_lag_3,0.007922885
CLRSKY_SFC_SW_DWN_lag_24,0.007508587
CLRSKY_SFC_SW_DWN_roll_max_6,0.0074188528
ALLSKY_SFC_SW_DWN_roll_std_3,0.0064315484
ALLSKY_SFC_SW_DWN_lag_13,0.0049507795
ALLSKY_SFC_SW_DWN_lag_1,0.003598938
CLOUD_AMT,0.002842212
CLOUD_AMT_lag_1,0.0016094988
cos_month,0.0015493175
ALLSKY_SFC_SW_DWN_lag_2,0.0015392856
T2M_lag_3,0.0013309735
RH2M,0.0011934956
sin_month,0.0011810752
CLOUD_AMT_roll_mean_3,0.0011246499
T2M_lag_6,0.0010023639
PS_lag_12,0.0009641236
CLOUD_AMT_roll_min_6,0.0009238347
RH2M_lag_6,0.00091595575
CLOUD_AMT_roll_max_6,0.00088337995
PS_lag_6,0.00088139856
T2M,0.0008759071
PS_lag_1,0.00087469234
CLOUD_AMT_roll_mean_6,0.00086807384
PS,0.00085285195
RH2M_lag_12,0.00085163984
CLOUD_AMT_lag_24,0.00084225734
RH2M_lag_1,0.0008310429
CLOUD_AMT_lag_12,0.0008108714
T2M_lag_2,0.0008097649
PS_lag_2,0.0008075437
PS_lag_3,0.00080052274
T2M_lag_12,0.000788531
RH2M_lag_2,0.00078262686
T2M_lag_1,0.00077421195
RH2M_lag_3,0.00075497857
CLOUD_AMT_lag_2,0.0007340899
CLOUD_AMT_roll_std_6,0.00071963336
T2M_lag_24,0.00069773436
PS_lag_24,0.0006931271
CLOUD_AMT_roll_std_3,0.0006821232
RH2M_lag_24,0.0006662039
CLOUD_AMT_lag_3,0.00065566757
CLOUD_AMT_lag_6,0.00061630626
