feature,importance_mean
sin_hour,0.08074889
CLRSKY_SFC_SW_DWN_roll_std_6,0.05899887
cos_hour,0.05450092
CLRSKY_SFC_SW_DWN_roll_mean_6,0.04729646
ALLSKY_SFC_SW_DWN_lag_8,0.034424473
ALLSKY_SFC_SW_DWN_lag_21,0.034069464
ALLSKY_SFC_SW_DWN_lag_19,0.033030733
ALLSKY_SFC_SW_DWN_lag_20,0.029069701
ALLSKY_SFC_SW_DWN_lag_22,0.028651303
ALLSKY_SFC_SW_DWN_lag_11,0.027655788
ALLSKY_SFC_SW_DWN_lag_23,0.02711156
ALLSKY_SFC_SW_DWN_lag_9,0.026520578
CLRSKY_SFC_SW_DWN_lag_12,0.026238851
ALLSKY_SFC_SW_DWN_lag_7,0.025255397
CLRSKY_SFC_SW_DWN_roll_mean_3,0.02468037
ALLSKY_SFC_SW_DWN_lag_17,0.024414694
CLRSKY_SFC_SW_DWN_lag_3,0.0239205
ALLSKY_SFC_SW_DWN_lag_5,0.023701772
ALLSKY_SFC_SW_DWN_lag_10,0.023684027
CLRSKY_SFC_SW_DWN_lag_1,0.023484627
CLRSKY_SFC_SW_DWN_lag_2,0.023081355
CLRSKY_SFC_SW_DWN_roll_min_6,0.02090762
CLRSKY_SFC_SW_DWN,0.020103278
CLRSKY_SFC_SW_DWN_roll_max_6,0.019639503
ALLSKY_SFC_SW_DWN_lag_13,0.019125914
ALLSKY_SFC_SW_DWN_lag_14,0.018185427
CLRSKY_SFC_SW_DWN_lag_6,0.017189778
CLRSKY_SFC_SW_DWN_lag_24,0.016497595
CLRSKY_SFC_SW_DWN_roll_std_3,0.015988575
ALLSKY_SFC_SW_DWN_lag_1,0.015075297
ALLSKY_SFC_SW_DWN_roll_mean_3,0.014542046
ALLSKY_SFC_SW_DWN_roll_std_3,0.009929804
ALLSKY_SFC_SW_DWN_lag_16,0.009812872
ALLSKY_SFC_SW_DWN_lag_4,0.009416287
ALLSKY_SFC_SW_DWN_lag_18,0.008831313
ALLSKY_SFC_SW_DWN_roll_min_6,0.0065684333
ALLSKY_SFC_SW_DWN_roll_max_6,0.006454513
ALLSKY_SFC_SW_DWN_roll_mean_6,0.0052550808
ALLSKY_SFC_SW_DWN_lag_2,0.004422763
ALLSKY_SFC_SW_DWN_lag_24,0.00417544
ALLSKY_SFC_SW_DWN_roll_std_6,0.0040525375
ALLSKY_SFC_SW_DWN_lag_12,0.0037447365
ALLSKY_SFC_SW_DWN_lag_6,0.0033446215
ALLSKY_SFC_SW_DWN_lag_15,0.003069536
ALLSKY_SFC_SW_DWN_lag_3,0.0026364299
CLOUD_AMT,0.002416905
cos_month,0.0017569406
CLOUD_AMT_lag_1,0.0014231573
sin_month,0.0014165303
T2M_lag_3,0.001412877
CLOUD_AMT_roll_max_6,0.0012976109
PS_lag_3,0.001259785
T2M_lag_2,0.0012009346
PS_lag_1,0.0011995538
T2M_lag_1,0.0011970516
PS_lag_2,0.0011958884
CLOUD_AMT_roll_min_6,0.0011907237
PS,0.001160675
PS_lag_6,0.0011602509
T2M,0.0011572196
RH2M,0.0011340887
PS_lag_12,0.0011237263
CLOUD_AMT_lag_12,0.0011118212
CLOUD_AMT_lag_6,0.0010328345
CLOUD_AMT_roll_mean_3,0.0010168039
RH2M_lag_2,0.0009903448
RH2M_lag_6,0.0009896973
RH2M_lag_3,0.0009883275
RH2M_lag_24,0.0009825985
CLOUD_AMT_roll_mean_6,0.0009746744
RH2M_lag_1,0.00095581583
RH2M_lag_12,0.0009356456
CLOUD_AMT_roll_std_6,0.00092734396
T2M_lag_6,0.0009269824
CLOUD_AMT_lag_3,0.000901347
CLOUD_AMT_lag_2,0.0008885557
PS_lag_24,0.0008764346
CLOUD_AMT_lag_24,0.0008678988
T2M_lag_12,0.0008544797
T2M_lag_24,0.00081268133
CLOUD_AMT_roll_std_3,0.0007520681
